"Locale","StoreLocale","Title","ShortDescription","Description","Feature1","Feature2","Feature3","Feature4","Feature5","Keyword1","Keyword2","Keyword3","Keyword4","Keyword5","Keyword6","Keyword7"
"hr-HR","hr-HR","JoeSSH","Besplatna Public Beta otvorenog koda za lokalni SSH, SFTP i prosljeđivanje priključaka na Windows x64.","JoeSSH je besplatna Public Beta otvorenog koda za lokalni SSH rad na sustavu Windows x64. Povežite se s poslužiteljem za koji imate ovlaštenje, pregledajte ključeve glavnog računala, koristite interaktivni terminal, prenesite datoteke putem SFTP-a i upravljajte lokalnim prosljeđivanjem priključaka. Profili i postavke po zadanom ostaju na ovom uređaju. Nisu potrebni JoeSSH račun ni hostana usluga.","Pregled SSH ključa glavnog računala","Interaktivni terminal","SFTP prijenosi do 25 MiB","Lokalno prosljeđivanje samo putem loopbacka","Lokalni profili veza","SSH","SFTP","Interaktivni terminal","Lokalno prosljeđivanje priključaka","Lokalni profili","Windows","Public Beta"
"cs-CZ","cs-CZ","JoeSSH","Bezplatná Public Beta s otevřeným zdrojovým kódem pro lokální SSH, SFTP a přesměrování portů ve Windows x64.","JoeSSH je bezplatná Public Beta s otevřeným zdrojovým kódem pro lokální práci přes SSH ve Windows x64. Připojte se k serveru, ke kterému máte oprávnění, zkontrolujte klíče hostitele, používejte interaktivní terminál, přenášejte soubory přes SFTP a spravujte místní přesměrování portů. Profily a předvolby se ve výchozím nastavení ukládají na tomto zařízení. Účet JoeSSH ani hostovaná služba nejsou potřeba.","Kontrola klíče hostitele SSH","Interaktivní terminál","Přenosy SFTP do 25 MiB","Místní přesměrování portů pouze přes loopback","Místní profily připojení","SSH","SFTP","Interaktivní terminál","Místní přesměrování portů","Místní profily","Windows","Public Beta"
"da-DK","da-DK","JoeSSH","Gratis open source Public Beta til lokal SSH, SFTP og portviderestilling på Windows x64.","JoeSSH er en gratis open source Public Beta til lokalt SSH-arbejde på Windows x64. Opret forbindelse til en server, du har tilladelse til at bruge, gennemgå værtsnøgler, brug en interaktiv terminal, overfør filer med SFTP, og administrer lokale portviderestillinger. Profiler og indstillinger gemmes som standard på denne enhed. Der kræves ingen JoeSSH-konto eller hostet tjeneste.","Gennemgang af SSH-værtsnøgle","Interaktiv terminal","SFTP-overførsler op til 25 MiB","Lokal portviderestilling kun via loopback","Lokale forbindelsesprofiler","SSH","SFTP","Interaktiv terminal","Lokal portviderestilling","Lokale forbindelsesprofiler","Windows","Public Beta"
"nl-NL","nl-NL","JoeSSH","Gratis open-source Public Beta voor lokale SSH, SFTP en port forwarding op Windows x64.","JoeSSH is een gratis open-source Public Beta voor lokaal SSH-werk op Windows x64. Maak verbinding met een server waarvoor je toestemming hebt, controleer hostsleutels, gebruik een interactieve terminal, verplaats bestanden met SFTP en beheer lokale port forwarding. Profielen en voorkeuren worden standaard op dit apparaat bewaard. Een JoeSSH-account of gehoste dienst is niet nodig.","SSH-hostsleutel controleren","Interactieve terminal","SFTP-overdrachten tot 25 MiB","Lokale port forwarding via alleen loopback","Lokale verbindingsprofielen","SSH","SFTP","Interactieve terminal","Lokale port forwarding","Lokale verbindingsprofielen","Windows","Public Beta"
"en-GB","en-GB","JoeSSH","Free, open-source Public Beta for local-first SSH, SFTP and port forwarding on Windows x64.","JoeSSH is a free, open-source Public Beta for local SSH work on Windows x64. Connect to an authorised server, review host keys, use an interactive terminal, transfer files with SFTP, and manage local port forwarding. Profiles and preferences stay on this device by default. No JoeSSH account or hosted service is required.","SSH host-key review","Interactive terminal","SFTP transfers up to 25 MiB","Loopback-only local port forwarding","Local connection profiles","SSH","SFTP","Interactive terminal","Local port forwarding","Local connection profiles","Windows","Public Beta"
"en-US","en-US","JoeSSH","Free, open-source Public Beta for local-first SSH, SFTP and port forwarding on Windows x64.","JoeSSH is a free, open-source Public Beta for local SSH work on Windows x64. Connect to an authorized server, review host keys, use an interactive terminal, transfer files with SFTP, and manage local port forwarding. Profiles and preferences stay on this device by default. No JoeSSH account or hosted service is required.","SSH host-key review","Interactive terminal","SFTP transfers up to 25 MiB","Loopback-only local port forwarding","Local connection profiles","SSH","SFTP","Interactive terminal","Local port forwarding","Local connection profiles","Windows","Public Beta"
"et-EE","et-EE","JoeSSH","Tasuta avatud lähtekoodiga Public Beta kohaliku SSH, SFTP ja pordisuunamise jaoks Windows x64-s.","JoeSSH on tasuta avatud lähtekoodiga Public Beta kohalikuks SSH-tööks Windows x64-s. Ühenda serveriga, mille kasutamiseks sul on luba, vaata hostivõtmed üle, kasuta interaktiivset terminali, edasta faile SFTP-ga ja halda kohalikke pordisuunamisi. Profiilid ja eelistused salvestatakse vaikimisi sellesse seadmesse. JoeSSH kontot ega majutatud teenust pole vaja.","SSH hostivõtme ülevaatus","Interaktiivne terminal","SFTP-edastused kuni 25 MiB","Ainult loopbacki kohalik pordisuunamine","Kohalikud ühendusprofiilid","SSH","SFTP","Interaktiivne terminal","Kohalik pordisuunamine","Kohalikud ühendusprofiilid","Windows","Public Beta"
"fil-PH","fil-PH","JoeSSH","Libre at open source na Public Beta para sa lokal-first SSH, SFTP, at port forwarding sa Windows x64.","Ang JoeSSH ay isang libre at open source na Public Beta para sa lokal na SSH sa Windows x64. Kumonekta sa server na may pahintulot kang gamitin, suriin ang mga host key, gumamit ng interactive terminal, maglipat ng file gamit ang SFTP, at pamahalaan ang lokal na port forwarding. Nananatili sa device na ito ang mga profile at preference bilang default. Hindi kailangan ng JoeSSH account o naka-host na serbisyo.","Pagsusuri ng SSH host key","Interactive terminal","SFTP transfer hanggang 25 MiB","Loopback-only na lokal na port forwarding","Mga lokal na connection profile","SSH","SFTP","Interactive terminal","lokal na port forwarding","Mga lokal na connection profile","Windows","Public Beta"
"fi-FI","fi-FI","JoeSSH","Ilmainen avoimen lähdekoodin Public Beta paikalliseen SSH:hen, SFTP:hen ja porttien välitykseen Windows x64:ssä.","JoeSSH on ilmainen avoimen lähdekoodin Public Beta paikalliseen SSH-työskentelyyn Windows x64:ssä. Yhdistä palvelimeen, jonka käyttöön sinulla on lupa, tarkista isäntäavaimet, käytä vuorovaikutteista päätettä, siirrä tiedostoja SFTP:llä ja hallitse paikallisia porttien välityksiä. Profiilit ja asetukset tallennetaan oletuksena tähän laitteeseen. JoeSSH-tiliä tai isännöityä palvelua ei tarvita.","SSH-isäntäavaimen tarkistus","Vuorovaikutteinen pääte","SFTP-siirrot enintään 25 MiB","Paikallinen porttien välitys vain loopbackin kautta","Paikalliset yhteysprofiilit","SSH","SFTP","Vuorovaikutteinen pääte","Paikallinen porttien välitys","Paikalliset yhteysprofiilit","Windows","Public Beta"
"fr-FR","fr-FR","JoeSSH","Public Beta gratuite et open source pour SSH local, SFTP et redirection de ports sur Windows x64.","JoeSSH est une Public Beta gratuite et open source pour le travail SSH local sous Windows x64. Connectez-vous à un serveur auquel vous êtes autorisé à accéder, vérifiez les clés d'hôte, utilisez un terminal interactif, transférez des fichiers avec SFTP et gérez les redirections de ports locales. Les profils et préférences restent par défaut sur cet appareil. Aucun compte JoeSSH ni service hébergé n'est requis.","Vérification de la clé d'hôte SSH","Terminal interactif","Transferts SFTP jusqu'à 25 MiB","Redirection de ports locale par loopback uniquement","Profils de connexion locaux","SSH","SFTP","Terminal interactif","Redirection de ports","Profils de connexion","Windows","Public Beta"
"fr-CA","fr-CA","JoeSSH","Public Beta gratuite et open source pour SSH local, SFTP et redirection de ports sur Windows x64.","JoeSSH est une Public Beta gratuite et open source pour le travail SSH local sous Windows x64. Connectez-vous à un serveur auquel vous êtes autorisé à accéder, vérifiez les clés d’hôte, utilisez un terminal interactif, transférez des fichiers avec SFTP et gérez les redirections de ports locales. Les profils et préférences restent par défaut sur cet appareil. Aucun compte JoeSSH ni service hébergé n’est requis.","Vérification de la clé d’hôte SSH","Terminal interactif","Transferts SFTP jusqu’à 25 MiB","Redirection de ports locale par loopback uniquement","Profils de connexion locaux","SSH","SFTP","Terminal interactif","Redirection de ports","Profils de connexion","Windows","Public Beta"
"gl-ES","gl-ES","JoeSSH","Public Beta gratuíta e de código aberto para SSH local, SFTP e reenvío de portos en Windows x64.","JoeSSH é unha Public Beta gratuíta e de código aberto para traballo SSH local en Windows x64. Conéctate a un servidor que teñas autorización para usar, revisa as claves do host, usa un terminal interactivo, transfire ficheiros con SFTP e xestiona os reenvíos de portos locais. Os perfís e as preferencias gárdanse neste dispositivo por defecto. Non se precisa unha conta de JoeSSH nin un servizo aloxado.","Revisión da clave do host SSH","Terminal interactivo","Transferencias SFTP de ata 25 MiB","Reenvío de portos local só por loopback","Perfís de conexión locais","SSH","SFTP","Terminal interactivo","Reenvío de portos","Perfís de conexión","Windows","Public Beta"
"de-DE","de-DE","JoeSSH","Kostenlose Open-Source-Public-Beta für lokales SSH, SFTP und Portweiterleitung unter Windows x64.","JoeSSH ist eine kostenlose Open-Source-Public-Beta für lokale SSH-Arbeit unter Windows x64. Verbinden Sie sich mit einem Server, den Sie verwenden dürfen, prüfen Sie Hostschlüssel, nutzen Sie ein interaktives Terminal, übertragen Sie Dateien mit SFTP und verwalten Sie lokale Portweiterleitungen. Profile und Einstellungen bleiben standardmäßig auf diesem Gerät. Ein JoeSSH-Konto oder ein gehosteter Dienst ist nicht erforderlich.","SSH-Hostschlüssel prüfen","Interaktives Terminal","SFTP-Übertragungen bis 25 MiB","Lokale Portweiterleitung nur über Loopback","Lokale Verbindungsprofile","SSH","SFTP","Interaktives Terminal","Lokale Portweiterleitung","Lokale Verbindungsprofile","Windows","Public Beta"
"el-GR","el-GR","JoeSSH","Δωρεάν Public Beta ανοικτού κώδικα για τοπικό SSH, SFTP και προώθηση θυρών στα Windows x64.","Το JoeSSH είναι δωρεάν Public Beta ανοικτού κώδικα για τοπική εργασία SSH στα Windows x64. Συνδεθείτε σε διακομιστή που έχετε άδεια να χρησιμοποιείτε, ελέγξτε τα κλειδιά κεντρικού υπολογιστή, χρησιμοποιήστε διαδραστικό τερματικό, μεταφέρετε αρχεία με SFTP και διαχειριστείτε τοπικές προωθήσεις θυρών. Τα προφίλ και οι προτιμήσεις αποθηκεύονται από προεπιλογή σε αυτή τη συσκευή. Δεν απαιτείται λογαριασμός JoeSSH ή φιλοξενούμενη υπηρεσία.","Έλεγχος κλειδιού κεντρικού υπολογιστή SSH","Διαδραστικό τερματικό","Μεταφορές SFTP έως 25 MiB","Τοπική προώθηση θυρών μόνο μέσω loopback","Τοπικά προφίλ σύνδεσης","SSH","SFTP","Διαδραστικό τερματικό","Τοπική προώθηση θυρών","Τοπικά προφίλ","Windows","Public Beta"
"he-IL","he-IL","JoeSSH","Public Beta חינמית וקוד פתוח ל-SSH מקומי, SFTP והעברת יציאות ב-Windows x64.","JoeSSH היא Public Beta חינמית בקוד פתוח לעבודה מקומית עם SSH ב-Windows x64. התחברו לשרת שיש לכם הרשאה להשתמש בו, בדקו מפתחות מארח, השתמשו במסוף אינטראקטיבי, העבירו קבצים באמצעות SFTP ונהלו העברות יציאות מקומיות. פרופילים והעדפות נשמרים כברירת מחדל במכשיר הזה. אין צורך בחשבון JoeSSH או בשירות מתארח.","בדיקת מפתח מארח SSH","מסוף אינטראקטיבי","העברות SFTP עד 25 MiB","העברת יציאות מקומית דרך loopback בלבד","פרופילי חיבור מקומיים","SSH","SFTP","מסוף אינטראקטיבי","העברת יציאות","פרופילי חיבור","Windows","Public Beta"
"hi-IN","hi-IN","JoeSSH","Windows x64 पर स्थानीय SSH, SFTP और पोर्ट फ़ॉरवर्डिंग के लिए निःशुल्क, ओपन-सोर्स Public Beta।","JoeSSH Windows x64 पर स्थानीय SSH काम के लिए निःशुल्क और ओपन-सोर्स Public Beta है। जिस सर्वर को इस्तेमाल करने की अनुमति है उससे जुड़ें, होस्ट कुंजियों की समीक्षा करें, इंटरैक्टिव टर्मिनल इस्तेमाल करें, SFTP से फ़ाइलें स्थानांतरित करें और स्थानीय पोर्ट फ़ॉरवर्डिंग प्रबंधित करें। प्रोफ़ाइल और प्राथमिकताएँ डिफ़ॉल्ट रूप से इसी डिवाइस पर रहती हैं। JoeSSH खाते या होस्ट की गई सेवा की ज़रूरत नहीं है।","SSH होस्ट-कुंजी समीक्षा","इंटरैक्टिव टर्मिनल","25 MiB तक SFTP स्थानांतरण","केवल loopback स्थानीय पोर्ट फ़ॉरवर्डिंग","स्थानीय कनेक्शन प्रोफ़ाइल","SSH","SFTP","इंटरैक्टिव टर्मिनल","स्थानीय पोर्ट फ़ॉरवर्डिंग","स्थानीय कनेक्शन प्रोफ़ाइल","Windows","Public Beta"
"hu-HU","hu-HU","JoeSSH","Ingyenes, nyílt forráskódú Public Beta helyi SSH-hoz, SFTP-hez és porttovábbításhoz Windows x64-en.","A JoeSSH ingyenes, nyílt forráskódú Public Beta helyi SSH-munkához Windows x64-en. Csatlakozzon olyan kiszolgálóhoz, amelyhez jogosultsága van, ellenőrizze a gazdagépkulcsokat, használjon interaktív terminált, vigyen át fájlokat SFTP-vel, és kezelje a helyi porttovábbításokat. A profilok és beállítások alapértelmezés szerint ezen az eszközön maradnak. JoeSSH-fiók vagy üzemeltetett szolgáltatás nem szükséges.","SSH-gazdagépkulcs ellenőrzése","Interaktív terminál","Legfeljebb 25 MiB-es SFTP-átvitel","Csak loopbackes helyi porttovábbítás","Helyi kapcsolati profilok","SSH","SFTP","Interaktív terminál","Helyi porttovábbítás","Helyi kapcsolati profilok","Windows","Public Beta"
"is-IS","is-IS","JoeSSH","Ókeypis Public Beta með opnum kóða fyrir SSH, SFTP og framsendingu gátta á Windows x64.","JoeSSH er ókeypis Public Beta með opnum kóða fyrir SSH-vinnu á staðnum í Windows x64. Tengstu netþjóni sem þú hefur heimild til að nota, skoðaðu hýsillykla, notaðu gagnvirka flugstöð, flyttu skrár með SFTP og stjórnaðu staðbundinni gáttafransendingu. Snið og kjörstillingar vistast sjálfgefið á þessu tæki. JoeSSH-reikningur eða hýst þjónusta er ekki nauðsynleg.","Yfirferð SSH-hýsillykils","Gagnvirk flugstöð","SFTP-flutningar allt að 25 MiB","Staðbundin gáttafransending aðeins um loopback","Staðbundin tengisnið","SSH","SFTP","Gagnvirk flugstöð","Staðbundin gáttafransending","Staðbundin tengisnið","Windows","Public Beta"
"id-ID","id-ID","JoeSSH","Public Beta gratis dan sumber terbuka untuk SSH lokal, SFTP, dan penerusan port di Windows x64.","JoeSSH adalah Public Beta gratis dan sumber terbuka untuk pekerjaan SSH lokal di Windows x64. Sambungkan ke server yang boleh Anda gunakan, tinjau kunci host, gunakan terminal interaktif, transfer file dengan SFTP, dan kelola penerusan port lokal. Profil dan preferensi secara default tetap di perangkat ini. Akun JoeSSH atau layanan ter-host tidak diperlukan.","Peninjauan kunci host SSH","Terminal interaktif","Transfer SFTP hingga 25 MiB","Penerusan port lokal hanya melalui loopback","Profil koneksi lokal","SSH","SFTP","Terminal interaktif","Penerusan port","Profil koneksi","Windows","Public Beta"
"it-IT","it-IT","JoeSSH","Public Beta gratuita e open source per SSH locale, SFTP e inoltro delle porte su Windows x64.","JoeSSH è una Public Beta gratuita e open source per il lavoro SSH locale su Windows x64. Collegati a un server che sei autorizzato a usare, controlla le chiavi host, usa un terminale interattivo, trasferisci file con SFTP e gestisci gli inoltri delle porte locali. I profili e le preferenze restano per impostazione predefinita su questo dispositivo. Non servono un account JoeSSH o un servizio ospitato.","Controllo della chiave host SSH","Terminale interattivo","Trasferimenti SFTP fino a 25 MiB","Inoltro porte locale solo tramite loopback","Profili di connessione locali","SSH","SFTP","Terminale interattivo","Inoltro porte","Profili di connessione","Windows","Public Beta"
"ja-JP","ja-JP","JoeSSH","Windows x64 でローカル優先の SSH、SFTP、ポート転送を使える無料オープンソース Public Beta。","JoeSSH は Windows x64 でローカル SSH 作業を行うための無料オープンソース Public Beta です。利用を許可されたサーバーに接続し、ホストキーを確認し、対話型ターミナルを使い、SFTP でファイルを転送し、ローカルポート転送を管理できます。接続プロファイルと設定は既定でこのデバイスに保存されます。JoeSSH アカウントやホスト型サービスは必要ありません。","SSH ホストキーの確認","対話型ターミナル","25 MiB までの SFTP 転送","loopback のみのローカルポート転送","ローカル接続プロファイル","SSH","SFTP","対話型ターミナル","loopback のみのローカルポート転送","ローカル接続プロファイル","Windows","Public Beta"
"kn-IN","kn-IN","JoeSSH","Windows x64 ನಲ್ಲಿ ಸ್ಥಳೀಯ SSH, SFTP ಮತ್ತು ಪೋರ್ಟ್ ಫಾರ್ವರ್ಡಿಂಗ್‌ಗಾಗಿ ಉಚಿತ, ಮುಕ್ತ ಮೂಲದ Public Beta.","JoeSSH Windows x64 ನಲ್ಲಿ ಸ್ಥಳೀಯ SSH ಕೆಲಸಕ್ಕಾಗಿ ಉಚಿತ ಮತ್ತು ಮುಕ್ತ ಮೂಲದ Public Beta ಆಗಿದೆ. ನಿಮಗೆ ಅನುಮತಿ ಇರುವ ಸರ್ವರ್‌ಗೆ ಸಂಪರ್ಕಿಸಿ, ಹೋಸ್ಟ್ ಕೀಗಳನ್ನು ಪರಿಶೀಲಿಸಿ, ಸಂವಾದಾತ್ಮಕ ಟರ್ಮಿನಲ್ ಬಳಸಿ, SFTP ಮೂಲಕ ಫೈಲ್‌ಗಳನ್ನು ವರ್ಗಾಯಿಸಿ ಮತ್ತು ಸ್ಥಳೀಯ ಪೋರ್ಟ್ ಫಾರ್ವರ್ಡಿಂಗ್ ನಿರ್ವಹಿಸಿ. ಪ್ರೊಫೈಲ್‌ಗಳು ಮತ್ತು ಆದ್ಯತೆಗಳು ಡೀಫಾಲ್ಟ್ ಆಗಿ ಈ ಸಾಧನದಲ್ಲೇ ಉಳಿಯುತ್ತವೆ. JoeSSH ಖಾತೆ ಅಥವಾ ಹೋಸ್ಟ್ ಮಾಡಿದ ಸೇವೆ ಅಗತ್ಯವಿಲ್ಲ.","SSH ಹೋಸ್ಟ್ ಕೀ ಪರಿಶೀಲನೆ","ಸಂವಾದಾತ್ಮಕ ಟರ್ಮಿನಲ್","25 MiB ವರೆಗೆ SFTP ವರ್ಗಾವಣೆ","loopback ಮಾತ್ರದ ಸ್ಥಳೀಯ ಪೋರ್ಟ್ ಫಾರ್ವರ್ಡಿಂಗ್","ಸ್ಥಳೀಯ ಸಂಪರ್ಕ ಪ್ರೊಫೈಲ್‌ಗಳು","SSH","SFTP","ಸಂವಾದಾತ್ಮಕ ಟರ್ಮಿನಲ್","ಸ್ಥಳೀಯ ಪೋರ್ಟ್ ಫಾರ್ವರ್ಡಿಂಗ್","ಸ್ಥಳೀಯ ಸಂಪರ್ಕ ಪ್ರೊಫೈಲ್‌ಗಳು","Windows","Public Beta"
"kk-KZ","kk-KZ","JoeSSH","Windows x64 жүйесіндегі жергілікті SSH, SFTP және порттарды қайта бағыттауға арналған тегін, ашық бастапқы Public Beta.","JoeSSH — Windows x64 жүйесінде жергілікті SSH жұмысына арналған тегін әрі ашық бастапқы Public Beta. Рұқсатыңыз бар серверге қосылыңыз, хост кілттерін тексеріңіз, интерактивті терминалды пайдаланыңыз, файлдарды SFTP арқылы тасымалдаңыз және жергілікті порттарды қайта бағыттауды басқарыңыз. Профильдер мен параметрлер әдепкіде осы құрылғыда сақталады. JoeSSH тіркелгісі немесе орналастырылған қызмет қажет емес.","SSH хост кілтін тексеру","Интерактивті терминал","25 MiB дейінгі SFTP тасымалдары","Тек loopback арқылы жергілікті портты қайта бағыттау","Жергілікті қосылым профильдері","SSH","SFTP","Интерактивті терминал","Жергілікті портты қайта бағыттау","Жергілікті қосылым профильдері","Windows","Public Beta"
