"Locale","StoreLocale","SourceName","LanguageName","NativeName","AppUiSupported","AppUiLocale","ReviewRequired","MappingNote","Title","ShortDescription","FullDescription","Feature1","Feature2","Feature3","Feature4","Feature5","Keyword1","Keyword2","Keyword3","Keyword4","Keyword5","Keyword6","Keyword7","ContentSha256","ReviewStatus","Reviewer","ReviewedAt","Provenance","ScreenshotEvidence"
"hr-HR","hr-HR","克罗地亚语","Croatian","Hrvatski","false","","false","","JoeSSH","Besplatna Public Beta otvorenog koda za lokalni SSH, SFTP i prosljeđivanje priključaka na Windows x64.","JoeSSH je besplatna Public Beta otvorenog koda za lokalni SSH rad na sustavu Windows x64. Povežite se s poslužiteljem za koji imate ovlaštenje, pregledajte ključeve glavnog računala, koristite interaktivni terminal, prenesite datoteke putem SFTP-a i upravljajte lokalnim prosljeđivanjem priključaka. Profili i postavke po zadanom ostaju na ovom uređaju. Nisu potrebni JoeSSH račun ni hostana usluga.","Pregled SSH ključa glavnog računala","Interaktivni terminal","SFTP prijenosi do 25 MiB","Lokalno prosljeđivanje samo putem loopbacka","Lokalni profili veza","SSH","SFTP","Interaktivni terminal","Lokalno prosljeđivanje priključaka","Lokalni profili","Windows","Public Beta","93996e33dabf50b497efb6780a99d27f1f889991352e25bdb2de0d7c07c2e93f","translation-draft","","","",""
"cs-CZ","cs-CZ","捷克语","Czech","Čeština","false","","false","","JoeSSH","Bezplatná Public Beta s otevřeným zdrojovým kódem pro lokální SSH, SFTP a přesměrování portů ve Windows x64.","JoeSSH je bezplatná Public Beta s otevřeným zdrojovým kódem pro lokální práci přes SSH ve Windows x64. Připojte se k serveru, ke kterému máte oprávnění, zkontrolujte klíče hostitele, používejte interaktivní terminál, přenášejte soubory přes SFTP a spravujte místní přesměrování portů. Profily a předvolby se ve výchozím nastavení ukládají na tomto zařízení. Účet JoeSSH ani hostovaná služba nejsou potřeba.","Kontrola klíče hostitele SSH","Interaktivní terminál","Přenosy SFTP do 25 MiB","Místní přesměrování portů pouze přes loopback","Místní profily připojení","SSH","SFTP","Interaktivní terminál","Místní přesměrování portů","Místní profily","Windows","Public Beta","331893a6c085b09d9fe0c5268722854e16cad15e81a1364134f6495d5e4cdd04","translation-draft","","","",""
"da-DK","da-DK","丹麦语","Danish","Dansk","false","","false","","JoeSSH","Gratis open source Public Beta til lokal SSH, SFTP og portviderestilling på Windows x64.","JoeSSH er en gratis open source Public Beta til lokalt SSH-arbejde på Windows x64. Opret forbindelse til en server, du har tilladelse til at bruge, gennemgå værtsnøgler, brug en interaktiv terminal, overfør filer med SFTP, og administrer lokale portviderestillinger. Profiler og indstillinger gemmes som standard på denne enhed. Der kræves ingen JoeSSH-konto eller hostet tjeneste.","Gennemgang af SSH-værtsnøgle","Interaktiv terminal","SFTP-overførsler op til 25 MiB","Lokal portviderestilling kun via loopback","Lokale forbindelsesprofiler","SSH","SFTP","Interaktiv terminal","Lokal portviderestilling","Lokale forbindelsesprofiler","Windows","Public Beta","b137fa972fc9493929ec666abaf891eabd6fcd856c4e29b797816e19b3d0d468","translation-draft","","","",""
"nl-NL","nl-NL","荷兰语","Dutch","Nederlands","false","","false","","JoeSSH","Gratis open-source Public Beta voor lokale SSH, SFTP en port forwarding op Windows x64.","JoeSSH is een gratis open-source Public Beta voor lokaal SSH-werk op Windows x64. Maak verbinding met een server waarvoor je toestemming hebt, controleer hostsleutels, gebruik een interactieve terminal, verplaats bestanden met SFTP en beheer lokale port forwarding. Profielen en voorkeuren worden standaard op dit apparaat bewaard. Een JoeSSH-account of gehoste dienst is niet nodig.","SSH-hostsleutel controleren","Interactieve terminal","SFTP-overdrachten tot 25 MiB","Lokale port forwarding via alleen loopback","Lokale verbindingsprofielen","SSH","SFTP","Interactieve terminal","Lokale port forwarding","Lokale verbindingsprofielen","Windows","Public Beta","60e0f0946cef08a33d6083f72e8fa0fdf2f2976055061efe62f67a5046c89887","translation-draft","","","",""
"en-GB","en-GB","英语英国","English (United Kingdom)","English","true","en","false","","JoeSSH","Free, open-source Public Beta for local-first SSH, SFTP and port forwarding on Windows x64.","JoeSSH is a free, open-source Public Beta for local SSH work on Windows x64. Connect to an authorised server, review host keys, use an interactive terminal, transfer files with SFTP, and manage local port forwarding. Profiles and preferences stay on this device by default. No JoeSSH account or hosted service is required.","SSH host-key review","Interactive terminal","SFTP transfers up to 25 MiB","Loopback-only local port forwarding","Local connection profiles","SSH","SFTP","Interactive terminal","Local port forwarding","Local connection profiles","Windows","Public Beta","93d5cdb4907bbbb65718653449bb7c4c667d9637e0a6b6662124cff9b2f1cbb9","translation-draft","","","",""
"en-US","en-US","英语美国","English (United States)","English","true","en","false","","JoeSSH","Free, open-source Public Beta for local-first SSH, SFTP and port forwarding on Windows x64.","JoeSSH is a free, open-source Public Beta for local SSH work on Windows x64. Connect to an authorized server, review host keys, use an interactive terminal, transfer files with SFTP, and manage local port forwarding. Profiles and preferences stay on this device by default. No JoeSSH account or hosted service is required.","SSH host-key review","Interactive terminal","SFTP transfers up to 25 MiB","Loopback-only local port forwarding","Local connection profiles","SSH","SFTP","Interactive terminal","Local port forwarding","Local connection profiles","Windows","Public Beta","3fdecb6dcedc5f157d3b29cc23ccad7f18b7661d3d2c20af1ce0ae08168e3e82","translation-draft","","","",""
"et-EE","et-EE","爱沙尼亚语","Estonian","Eesti","false","","false","","JoeSSH","Tasuta avatud lähtekoodiga Public Beta kohaliku SSH, SFTP ja pordisuunamise jaoks Windows x64-s.","JoeSSH on tasuta avatud lähtekoodiga Public Beta kohalikuks SSH-tööks Windows x64-s. Ühenda serveriga, mille kasutamiseks sul on luba, vaata hostivõtmed üle, kasuta interaktiivset terminali, edasta faile SFTP-ga ja halda kohalikke pordisuunamisi. Profiilid ja eelistused salvestatakse vaikimisi sellesse seadmesse. JoeSSH kontot ega majutatud teenust pole vaja.","SSH hostivõtme ülevaatus","Interaktiivne terminal","SFTP-edastused kuni 25 MiB","Ainult loopbacki kohalik pordisuunamine","Kohalikud ühendusprofiilid","SSH","SFTP","Interaktiivne terminal","Kohalik pordisuunamine","Kohalikud ühendusprofiilid","Windows","Public Beta","c51408eb32518c6b8ce34f0e45a09081212834180f8094e06c750273ccc136ec","translation-draft","","","",""
"fil-PH","fil-PH","菲律宾语","Filipino","Filipino","false","","false","","JoeSSH","Libre at open source na Public Beta para sa lokal-first SSH, SFTP, at port forwarding sa Windows x64.","Ang JoeSSH ay isang libre at open source na Public Beta para sa lokal na SSH sa Windows x64. Kumonekta sa server na may pahintulot kang gamitin, suriin ang mga host key, gumamit ng interactive terminal, maglipat ng file gamit ang SFTP, at pamahalaan ang lokal na port forwarding. Nananatili sa device na ito ang mga profile at preference bilang default. Hindi kailangan ng JoeSSH account o naka-host na serbisyo.","Pagsusuri ng SSH host key","Interactive terminal","SFTP transfer hanggang 25 MiB","Loopback-only na lokal na port forwarding","Mga lokal na connection profile","SSH","SFTP","Interactive terminal","lokal na port forwarding","Mga lokal na connection profile","Windows","Public Beta","340953a73204e7b91795305511529f7bda6e6319aa65e8da1480bd50f28dce9b","translation-draft","","","",""
"fi-FI","fi-FI","芬兰语","Finnish","Suomi","false","","false","","JoeSSH","Ilmainen avoimen lähdekoodin Public Beta paikalliseen SSH:hen, SFTP:hen ja porttien välitykseen Windows x64:ssä.","JoeSSH on ilmainen avoimen lähdekoodin Public Beta paikalliseen SSH-työskentelyyn Windows x64:ssä. Yhdistä palvelimeen, jonka käyttöön sinulla on lupa, tarkista isäntäavaimet, käytä vuorovaikutteista päätettä, siirrä tiedostoja SFTP:llä ja hallitse paikallisia porttien välityksiä. Profiilit ja asetukset tallennetaan oletuksena tähän laitteeseen. JoeSSH-tiliä tai isännöityä palvelua ei tarvita.","SSH-isäntäavaimen tarkistus","Vuorovaikutteinen pääte","SFTP-siirrot enintään 25 MiB","Paikallinen porttien välitys vain loopbackin kautta","Paikalliset yhteysprofiilit","SSH","SFTP","Vuorovaikutteinen pääte","Paikallinen porttien välitys","Paikalliset yhteysprofiilit","Windows","Public Beta","25befdbf9bb3fec92f482413ea1acba9a29f50654600b5639012beb4a3bb02eb","translation-draft","","","",""
"fr-FR","fr-FR","法语","French","Français","true","fr","false","","JoeSSH","Public Beta gratuite et open source pour SSH local, SFTP et redirection de ports sur Windows x64.","JoeSSH est une Public Beta gratuite et open source pour le travail SSH local sous Windows x64. Connectez-vous à un serveur auquel vous êtes autorisé à accéder, vérifiez les clés d'hôte, utilisez un terminal interactif, transférez des fichiers avec SFTP et gérez les redirections de ports locales. Les profils et préférences restent par défaut sur cet appareil. Aucun compte JoeSSH ni service hébergé n'est requis.","Vérification de la clé d'hôte SSH","Terminal interactif","Transferts SFTP jusqu'à 25 MiB","Redirection de ports locale par loopback uniquement","Profils de connexion locaux","SSH","SFTP","Terminal interactif","Redirection de ports","Profils de connexion","Windows","Public Beta","ef0db910e89fa2684d316581c7802ad1bd6f08bf5802b839c1b011910de2fb72","translation-draft","","","",""
"fr-CA","fr-CA","法语加拿大","French (Canada)","Français (Canada)","false","","false","","JoeSSH","Public Beta gratuite et open source pour SSH local, SFTP et redirection de ports sur Windows x64.","JoeSSH est une Public Beta gratuite et open source pour le travail SSH local sous Windows x64. Connectez-vous à un serveur auquel vous êtes autorisé à accéder, vérifiez les clés d’hôte, utilisez un terminal interactif, transférez des fichiers avec SFTP et gérez les redirections de ports locales. Les profils et préférences restent par défaut sur cet appareil. Aucun compte JoeSSH ni service hébergé n’est requis.","Vérification de la clé d’hôte SSH","Terminal interactif","Transferts SFTP jusqu’à 25 MiB","Redirection de ports locale par loopback uniquement","Profils de connexion locaux","SSH","SFTP","Terminal interactif","Redirection de ports","Profils de connexion","Windows","Public Beta","4cab75c257f1b4ba751fa0ba59e214caa0b45d70bf082998e42c086286d4092c","translation-draft","","","",""
"gl-ES","gl-ES","加利西亚语","Galician","Galego","false","","false","","JoeSSH","Public Beta gratuíta e de código aberto para SSH local, SFTP e reenvío de portos en Windows x64.","JoeSSH é unha Public Beta gratuíta e de código aberto para traballo SSH local en Windows x64. Conéctate a un servidor que teñas autorización para usar, revisa as claves do host, usa un terminal interactivo, transfire ficheiros con SFTP e xestiona os reenvíos de portos locais. Os perfís e as preferencias gárdanse neste dispositivo por defecto. Non se precisa unha conta de JoeSSH nin un servizo aloxado.","Revisión da clave do host SSH","Terminal interactivo","Transferencias SFTP de ata 25 MiB","Reenvío de portos local só por loopback","Perfís de conexión locais","SSH","SFTP","Terminal interactivo","Reenvío de portos","Perfís de conexión","Windows","Public Beta","494f36b74540e4db50c26a90d10f9b81d203f96bd3f1d3cbecb6a4b0d5574d50","translation-draft","","","",""
"de-DE","de-DE","德语","German","Deutsch","true","de","false","","JoeSSH","Kostenlose Open-Source-Public-Beta für lokales SSH, SFTP und Portweiterleitung unter Windows x64.","JoeSSH ist eine kostenlose Open-Source-Public-Beta für lokale SSH-Arbeit unter Windows x64. Verbinden Sie sich mit einem Server, den Sie verwenden dürfen, prüfen Sie Hostschlüssel, nutzen Sie ein interaktives Terminal, übertragen Sie Dateien mit SFTP und verwalten Sie lokale Portweiterleitungen. Profile und Einstellungen bleiben standardmäßig auf diesem Gerät. Ein JoeSSH-Konto oder ein gehosteter Dienst ist nicht erforderlich.","SSH-Hostschlüssel prüfen","Interaktives Terminal","SFTP-Übertragungen bis 25 MiB","Lokale Portweiterleitung nur über Loopback","Lokale Verbindungsprofile","SSH","SFTP","Interaktives Terminal","Lokale Portweiterleitung","Lokale Verbindungsprofile","Windows","Public Beta","c140d62f33f1374603a31931dede7f075841aa089783091a41f4374104d249a3","translation-draft","","","",""
"el-GR","el-GR","希腊语","Greek","Ελληνικά","false","","false","","JoeSSH","Δωρεάν Public Beta ανοικτού κώδικα για τοπικό SSH, SFTP και προώθηση θυρών στα Windows x64.","Το JoeSSH είναι δωρεάν Public Beta ανοικτού κώδικα για τοπική εργασία SSH στα Windows x64. Συνδεθείτε σε διακομιστή που έχετε άδεια να χρησιμοποιείτε, ελέγξτε τα κλειδιά κεντρικού υπολογιστή, χρησιμοποιήστε διαδραστικό τερματικό, μεταφέρετε αρχεία με SFTP και διαχειριστείτε τοπικές προωθήσεις θυρών. Τα προφίλ και οι προτιμήσεις αποθηκεύονται από προεπιλογή σε αυτή τη συσκευή. Δεν απαιτείται λογαριασμός JoeSSH ή φιλοξενούμενη υπηρεσία.","Έλεγχος κλειδιού κεντρικού υπολογιστή SSH","Διαδραστικό τερματικό","Μεταφορές SFTP έως 25 MiB","Τοπική προώθηση θυρών μόνο μέσω loopback","Τοπικά προφίλ σύνδεσης","SSH","SFTP","Διαδραστικό τερματικό","Τοπική προώθηση θυρών","Τοπικά προφίλ","Windows","Public Beta","abd3d09dd6490cb5585a42f2cbc6995b3454d02dd1895c0c24236e069208d248","translation-draft","","","",""
"he-IL","he-IL","希伯来语","Hebrew","עברית","false","","false","","JoeSSH","Public Beta חינמית וקוד פתוח ל-SSH מקומי, SFTP והעברת יציאות ב-Windows x64.","JoeSSH היא Public Beta חינמית בקוד פתוח לעבודה מקומית עם SSH ב-Windows x64. התחברו לשרת שיש לכם הרשאה להשתמש בו, בדקו מפתחות מארח, השתמשו במסוף אינטראקטיבי, העבירו קבצים באמצעות SFTP ונהלו העברות יציאות מקומיות. פרופילים והעדפות נשמרים כברירת מחדל במכשיר הזה. אין צורך בחשבון JoeSSH או בשירות מתארח.","בדיקת מפתח מארח SSH","מסוף אינטראקטיבי","העברות SFTP עד 25 MiB","העברת יציאות מקומית דרך loopback בלבד","פרופילי חיבור מקומיים","SSH","SFTP","מסוף אינטראקטיבי","העברת יציאות","פרופילי חיבור","Windows","Public Beta","d7e6a24ffb7aaef1f86caebda05a61326b483c0e946df28124db7f176dcee438","translation-draft","","","",""
"hi-IN","hi-IN","印地语","Hindi","हिन्दी","true","hi","false","","JoeSSH","Windows x64 पर स्थानीय SSH, SFTP और पोर्ट फ़ॉरवर्डिंग के लिए निःशुल्क, ओपन-सोर्स Public Beta।","JoeSSH Windows x64 पर स्थानीय SSH काम के लिए निःशुल्क और ओपन-सोर्स Public Beta है। जिस सर्वर को इस्तेमाल करने की अनुमति है उससे जुड़ें, होस्ट कुंजियों की समीक्षा करें, इंटरैक्टिव टर्मिनल इस्तेमाल करें, SFTP से फ़ाइलें स्थानांतरित करें और स्थानीय पोर्ट फ़ॉरवर्डिंग प्रबंधित करें। प्रोफ़ाइल और प्राथमिकताएँ डिफ़ॉल्ट रूप से इसी डिवाइस पर रहती हैं। JoeSSH खाते या होस्ट की गई सेवा की ज़रूरत नहीं है।","SSH होस्ट-कुंजी समीक्षा","इंटरैक्टिव टर्मिनल","25 MiB तक SFTP स्थानांतरण","केवल loopback स्थानीय पोर्ट फ़ॉरवर्डिंग","स्थानीय कनेक्शन प्रोफ़ाइल","SSH","SFTP","इंटरैक्टिव टर्मिनल","स्थानीय पोर्ट फ़ॉरवर्डिंग","स्थानीय कनेक्शन प्रोफ़ाइल","Windows","Public Beta","2e386add9f4ad4dd201c62f2c7b990f47f6da30943b6987e0536d1d8b4a0f0c7","translation-draft","","","",""
"hu-HU","hu-HU","匈牙利语","Hungarian","Magyar","false","","false","","JoeSSH","Ingyenes, nyílt forráskódú Public Beta helyi SSH-hoz, SFTP-hez és porttovábbításhoz Windows x64-en.","A JoeSSH ingyenes, nyílt forráskódú Public Beta helyi SSH-munkához Windows x64-en. Csatlakozzon olyan kiszolgálóhoz, amelyhez jogosultsága van, ellenőrizze a gazdagépkulcsokat, használjon interaktív terminált, vigyen át fájlokat SFTP-vel, és kezelje a helyi porttovábbításokat. A profilok és beállítások alapértelmezés szerint ezen az eszközön maradnak. JoeSSH-fiók vagy üzemeltetett szolgáltatás nem szükséges.","SSH-gazdagépkulcs ellenőrzése","Interaktív terminál","Legfeljebb 25 MiB-es SFTP-átvitel","Csak loopbackes helyi porttovábbítás","Helyi kapcsolati profilok","SSH","SFTP","Interaktív terminál","Helyi porttovábbítás","Helyi kapcsolati profilok","Windows","Public Beta","dadd9b4b771d83601694a36eda35f944b6b006b07a11db15118e409e347bafff","translation-draft","","","",""
"is-IS","is-IS","冰岛语","Icelandic","Íslenska","false","","false","","JoeSSH","Ókeypis Public Beta með opnum kóða fyrir SSH, SFTP og framsendingu gátta á Windows x64.","JoeSSH er ókeypis Public Beta með opnum kóða fyrir SSH-vinnu á staðnum í Windows x64. Tengstu netþjóni sem þú hefur heimild til að nota, skoðaðu hýsillykla, notaðu gagnvirka flugstöð, flyttu skrár með SFTP og stjórnaðu staðbundinni gáttafransendingu. Snið og kjörstillingar vistast sjálfgefið á þessu tæki. JoeSSH-reikningur eða hýst þjónusta er ekki nauðsynleg.","Yfirferð SSH-hýsillykils","Gagnvirk flugstöð","SFTP-flutningar allt að 25 MiB","Staðbundin gáttafransending aðeins um loopback","Staðbundin tengisnið","SSH","SFTP","Gagnvirk flugstöð","Staðbundin gáttafransending","Staðbundin tengisnið","Windows","Public Beta","abd22922fcebe4c40db309d42a94ad92148f01094c50b19ad45b3868e114dc52","translation-draft","","","",""
"id-ID","id-ID","印度尼西亚语","Indonesian","Bahasa Indonesia","true","id","false","","JoeSSH","Public Beta gratis dan sumber terbuka untuk SSH lokal, SFTP, dan penerusan port di Windows x64.","JoeSSH adalah Public Beta gratis dan sumber terbuka untuk pekerjaan SSH lokal di Windows x64. Sambungkan ke server yang boleh Anda gunakan, tinjau kunci host, gunakan terminal interaktif, transfer file dengan SFTP, dan kelola penerusan port lokal. Profil dan preferensi secara default tetap di perangkat ini. Akun JoeSSH atau layanan ter-host tidak diperlukan.","Peninjauan kunci host SSH","Terminal interaktif","Transfer SFTP hingga 25 MiB","Penerusan port lokal hanya melalui loopback","Profil koneksi lokal","SSH","SFTP","Terminal interaktif","Penerusan port","Profil koneksi","Windows","Public Beta","1dedf42adc62a13eb0c994400c8b1b208ee1f16dd1ed531bc3f61ee9e453dcaa","translation-draft","","","",""
